,Name,Age,Nationality,Overall,Potential,Club,Preferred Position,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
2009,Miguel Rosa,28,Portugal,74,74,CF Os Belenenses,ST,74.0,53.0,60.0,73.0,71.0,74.0,57.0,53.0,71.0,60.0,73.0,73.0,72.0,73.0,60.0,74.0,57.0,53.0,71.0,60.0,73.0,73.0,72.0,73.0,60.0,72.0
2010,C. Obasi,31,Nigeria,74,74,AIK Solna,ST,71.0,53.0,56.0,73.0,66.0,71.0,56.0,53.0,66.0,56.0,73.0,72.0,73.0,73.0,59.0,71.0,56.0,53.0,66.0,56.0,73.0,72.0,73.0,73.0,59.0,73.0
2011,H. Seferović,25,Switzerland,74,78,SL Benfica,ST,69.0,54.0,56.0,71.0,66.0,69.0,56.0,54.0,66.0,56.0,71.0,70.0,73.0,70.0,58.0,69.0,56.0,54.0,66.0,56.0,71.0,70.0,73.0,70.0,58.0,73.0
2012,E. Cerutti,25,Argentina,74,77,San Lorenzo de Almagro,ST,73.0,43.0,52.0,72.0,66.0,73.0,51.0,43.0,66.0,52.0,72.0,73.0,70.0,74.0,55.0,73.0,51.0,43.0,66.0,52.0,72.0,73.0,70.0,74.0,55.0,70.0
2013,Kléber,27,Brazil,74,75,Estoril Praia,ST,70.0,49.0,53.0,71.0,66.0,70.0,49.0,49.0,66.0,53.0,71.0,69.0,73.0,70.0,52.0,70.0,49.0,49.0,66.0,53.0,71.0,69.0,73.0,70.0,52.0,73.0
2014,J. Gustaldo,25,Chile,74,74,Universidad Católica,ST,68.0,41.0,46.0,69.0,62.0,68.0,40.0,41.0,62.0,46.0,69.0,63.0,73.0,65.0,43.0,68.0,40.0,41.0,62.0,46.0,69.0,63.0,73.0,65.0,43.0,73.0
2015,M. Janko,34,Austria,74,74,Sparta Praha,ST,64.0,49.0,49.0,68.0,58.0,64.0,46.0,49.0,58.0,49.0,68.0,61.0,73.0,64.0,47.0,64.0,46.0,49.0,58.0,49.0,68.0,61.0,73.0,64.0,47.0,73.0
2016,T. Bifouma,25,Congo,74,78,Medicana Sivasspor,ST,67.0,44.0,47.0,71.0,58.0,67.0,51.0,44.0,58.0,47.0,71.0,69.0,73.0,72.0,54.0,67.0,51.0,44.0,58.0,47.0,71.0,69.0,73.0,72.0,54.0,73.0
2017,C. Sortomayrés,25,Chile,74,74,Universidad de Chile,ST,66.0,41.0,45.0,69.0,59.0,66.0,44.0,41.0,59.0,45.0,69.0,65.0,73.0,67.0,47.0,66.0,44.0,41.0,59.0,45.0,69.0,65.0,73.0,67.0,47.0,73.0
2018,M. Larrondo,28,Chile,74,74,River Plate,ST,70.0,46.0,50.0,71.0,64.0,70.0,45.0,46.0,64.0,50.0,71.0,67.0,73.0,68.0,48.0,70.0,45.0,46.0,64.0,50.0,71.0,67.0,73.0,68.0,48.0,73.0
2019,A. Plata,26,Colombia,74,77,Independiente Santa Fe,ST,70.0,51.0,52.0,72.0,62.0,70.0,55.0,51.0,62.0,52.0,72.0,70.0,73.0,73.0,57.0,70.0,55.0,51.0,62.0,52.0,72.0,70.0,73.0,73.0,57.0,73.0
2020,L. Ulloa,30,Argentina,74,74,Leicester City,ST,67.0,56.0,57.0,69.0,65.0,67.0,53.0,56.0,65.0,57.0,69.0,65.0,73.0,66.0,54.0,67.0,53.0,56.0,65.0,57.0,69.0,65.0,73.0,66.0,54.0,73.0
2021,T. Usami,25,Japan,74,77,Fortuna Düsseldorf,ST,73.0,37.0,50.0,72.0,68.0,73.0,50.0,37.0,68.0,50.0,72.0,73.0,67.0,74.0,55.0,73.0,50.0,37.0,68.0,50.0,72.0,73.0,67.0,74.0,55.0,67.0
2022,R. Mora,29,Uruguay,74,74,River Plate,ST,72.0,45.0,52.0,73.0,66.0,72.0,50.0,45.0,66.0,52.0,73.0,72.0,73.0,73.0,54.0,72.0,50.0,45.0,66.0,52.0,73.0,72.0,73.0,73.0,54.0,73.0
2023,L. Mchedlidze,27,Georgia,74,75,Empoli,ST,67.0,47.0,49.0,70.0,61.0,67.0,46.0,47.0,61.0,49.0,70.0,65.0,73.0,67.0,48.0,67.0,46.0,47.0,61.0,49.0,70.0,65.0,73.0,67.0,48.0,73.0
2024,I. Santini,28,Croatia,74,74,SM Caen,ST,66.0,53.0,54.0,68.0,63.0,66.0,47.0,53.0,63.0,54.0,68.0,61.0,73.0,62.0,49.0,66.0,47.0,53.0,63.0,54.0,68.0,61.0,73.0,62.0,49.0,73.0
2025,L. Traoré,27,Ivory Coast,74,75,Amiens SC Football,ST,67.0,49.0,49.0,71.0,60.0,67.0,46.0,49.0,60.0,49.0,71.0,64.0,73.0,66.0,48.0,67.0,46.0,49.0,60.0,49.0,71.0,64.0,73.0,66.0,48.0,73.0
2026,G. Sio,28,Ivory Coast,75,75,Montpellier Hérault SC,ST,74.0,43.0,51.0,75.0,67.0,74.0,48.0,43.0,67.0,51.0,75.0,74.0,74.0,74.0,52.0,74.0,48.0,43.0,67.0,51.0,75.0,74.0,74.0,74.0,52.0,74.0
2027,O. Kamara,27,Norway,75,76,Columbus Crew SC,ST,69.0,50.0,52.0,72.0,61.0,69.0,51.0,50.0,61.0,52.0,72.0,68.0,74.0,70.0,54.0,69.0,51.0,50.0,61.0,52.0,72.0,68.0,74.0,70.0,54.0,74.0
2028,S. García,26,Uruguay,75,76,Godoy Cruz,ST,69.0,45.0,49.0,72.0,62.0,69.0,47.0,45.0,62.0,49.0,72.0,68.0,74.0,70.0,49.0,69.0,47.0,45.0,62.0,49.0,72.0,68.0,74.0,70.0,49.0,74.0
2029,Luimo Boas Santos,29,Brazil,75,75,Clube Atlético Mineiro,ST,71.0,43.0,47.0,73.0,64.0,71.0,46.0,43.0,64.0,47.0,73.0,68.0,74.0,70.0,48.0,71.0,46.0,43.0,64.0,47.0,73.0,68.0,74.0,70.0,48.0,74.0
2030,Nicholas Aldair,25,Brazil,75,75,Sport Club do Recife,ST,71.0,55.0,59.0,73.0,68.0,71.0,58.0,55.0,68.0,59.0,73.0,71.0,74.0,71.0,61.0,71.0,58.0,55.0,68.0,59.0,73.0,71.0,74.0,71.0,61.0,74.0
2031,J. Landiso,25,Chile,75,75,Unión Española,ST,74.0,44.0,51.0,74.0,68.0,74.0,50.0,44.0,68.0,51.0,74.0,73.0,72.0,74.0,54.0,74.0,50.0,44.0,68.0,51.0,74.0,73.0,72.0,74.0,54.0,72.0
2032,B. Wright-Phillips,32,England,75,75,New York Red Bulls,ST,69.0,45.0,50.0,73.0,63.0,69.0,49.0,45.0,63.0,50.0,73.0,69.0,74.0,71.0,52.0,69.0,49.0,45.0,63.0,50.0,73.0,69.0,74.0,71.0,52.0,74.0
2033,C. Wilson,25,England,75,79,Bournemouth,ST,74.0,50.0,56.0,75.0,67.0,74.0,54.0,50.0,67.0,56.0,75.0,73.0,74.0,74.0,56.0,74.0,54.0,50.0,67.0,56.0,75.0,73.0,74.0,74.0,56.0,74.0
2034,F. Mora,23,Chile,75,80,Cruz Azul,ST,70.0,42.0,47.0,72.0,63.0,70.0,45.0,42.0,63.0,47.0,72.0,68.0,74.0,69.0,47.0,70.0,45.0,42.0,63.0,47.0,72.0,68.0,74.0,69.0,47.0,74.0
2035,A. Hassan,24,Egypt,75,79,SC Braga,ST,67.0,48.0,50.0,70.0,61.0,67.0,45.0,48.0,61.0,50.0,70.0,63.0,74.0,65.0,47.0,67.0,45.0,48.0,61.0,50.0,70.0,63.0,74.0,65.0,47.0,74.0
2036,R. Babel,30,Netherlands,75,75,Beşiktaş JK,ST,73.0,49.0,53.0,75.0,67.0,73.0,53.0,49.0,67.0,53.0,75.0,73.0,74.0,75.0,56.0,73.0,53.0,49.0,67.0,53.0,75.0,73.0,74.0,75.0,56.0,74.0
2037,Bruno Moreira,29,Portugal,75,75,FC Paços de Ferreira,ST,66.0,48.0,50.0,70.0,60.0,66.0,47.0,48.0,60.0,50.0,70.0,65.0,74.0,66.0,49.0,66.0,47.0,48.0,60.0,50.0,70.0,65.0,74.0,66.0,49.0,74.0
2038,Fernandão,30,Brazil,75,75,Fenerbahçe SK,ST,65.0,48.0,50.0,69.0,61.0,65.0,43.0,48.0,61.0,50.0,69.0,61.0,74.0,62.0,45.0,65.0,43.0,48.0,61.0,50.0,69.0,61.0,74.0,62.0,45.0,74.0
2039,M. Livaja,23,Croatia,75,79,AEK Athens,ST,70.0,46.0,49.0,73.0,62.0,70.0,47.0,46.0,62.0,49.0,73.0,68.0,74.0,70.0,49.0,70.0,47.0,46.0,62.0,49.0,73.0,68.0,74.0,70.0,49.0,74.0
2040,A. Hernández,26,Uruguay,75,75,Hull City,ST,70.0,46.0,49.0,72.0,62.0,70.0,49.0,46.0,62.0,49.0,72.0,69.0,74.0,71.0,51.0,70.0,49.0,46.0,62.0,49.0,72.0,69.0,74.0,71.0,51.0,74.0
2041,H. Villalba,22,Argentina,75,79,Atlanta United FC,ST,74.0,47.0,55.0,75.0,68.0,74.0,56.0,47.0,68.0,55.0,75.0,74.0,73.0,75.0,59.0,74.0,56.0,47.0,68.0,55.0,75.0,74.0,73.0,75.0,59.0,73.0
2042,D. Damjanović,35,Montenegro,75,75,FC Seoul,ST,70.0,48.0,51.0,72.0,64.0,70.0,49.0,48.0,64.0,51.0,72.0,69.0,74.0,70.0,52.0,70.0,49.0,48.0,64.0,51.0,72.0,69.0,74.0,70.0,52.0,74.0
2043,J. Calleri,23,Argentina,75,81,UD Las Palmas,ST,71.0,52.0,55.0,74.0,66.0,71.0,54.0,52.0,66.0,55.0,74.0,70.0,74.0,72.0,56.0,71.0,54.0,52.0,66.0,55.0,74.0,70.0,74.0,72.0,56.0,74.0
2044,L. Griffiths,26,Scotland,75,76,Celtic,ST,72.0,41.0,48.0,73.0,65.0,72.0,48.0,41.0,65.0,48.0,73.0,72.0,74.0,73.0,51.0,72.0,48.0,41.0,65.0,48.0,73.0,72.0,74.0,73.0,51.0,74.0
2045,Joselu,27,Spain,75,76,Newcastle United,ST,71.0,43.0,48.0,73.0,64.0,71.0,46.0,43.0,64.0,48.0,73.0,69.0,74.0,71.0,49.0,71.0,46.0,43.0,64.0,48.0,73.0,69.0,74.0,71.0,49.0,74.0
2046,F. Di Santo,28,Argentina,75,75,FC Schalke 04,ST,71.0,49.0,54.0,73.0,66.0,71.0,51.0,49.0,66.0,54.0,73.0,70.0,74.0,72.0,54.0,71.0,51.0,49.0,66.0,54.0,73.0,70.0,74.0,72.0,54.0,74.0
2047,D. Sakho,27,Senegal,75,76,West Ham United,ST,68.0,48.0,50.0,71.0,61.0,68.0,49.0,48.0,61.0,50.0,71.0,68.0,74.0,70.0,51.0,68.0,49.0,48.0,61.0,50.0,71.0,68.0,74.0,70.0,51.0,74.0
2048,M. Maccarone,37,Italy,75,75,Brisbane Roar,ST,72.0,44.0,49.0,74.0,64.0,72.0,48.0,44.0,64.0,49.0,74.0,70.0,74.0,73.0,51.0,72.0,48.0,44.0,64.0,49.0,74.0,70.0,74.0,73.0,51.0,74.0
2049,Caiuby,28,Brazil,75,75,FC Augsburg,ST,73.0,51.0,56.0,74.0,68.0,73.0,55.0,51.0,68.0,56.0,74.0,74.0,74.0,73.0,58.0,73.0,55.0,51.0,68.0,56.0,74.0,74.0,74.0,73.0,58.0,74.0
2050,E. Derdiyok,29,Switzerland,75,75,Galatasaray SK,ST,69.0,45.0,49.0,70.0,65.0,69.0,43.0,45.0,65.0,49.0,70.0,65.0,74.0,67.0,46.0,69.0,43.0,45.0,65.0,49.0,70.0,65.0,74.0,67.0,46.0,74.0
2051,C. Wood,25,New Zealand,75,78,Burnley,ST,66.0,52.0,53.0,70.0,61.0,66.0,51.0,52.0,61.0,53.0,70.0,65.0,74.0,66.0,52.0,66.0,51.0,52.0,61.0,53.0,70.0,65.0,74.0,66.0,52.0,74.0
2052,Ailton Guevara,25,Brazil,75,75,Clube Atlético Mineiro,ST,74.0,44.0,51.0,74.0,68.0,74.0,50.0,44.0,68.0,51.0,74.0,73.0,72.0,74.0,54.0,74.0,50.0,44.0,68.0,51.0,74.0,73.0,72.0,74.0,54.0,72.0
2053,S. Marveaux,31,France,75,75,FC Lorient,ST,74.0,57.0,64.0,72.0,72.0,74.0,62.0,57.0,72.0,64.0,72.0,73.0,69.0,73.0,64.0,74.0,62.0,57.0,72.0,64.0,72.0,73.0,69.0,73.0,64.0,69.0
2054,D. Gayle,26,England,75,78,Newcastle United,ST,66.0,41.0,46.0,70.0,59.0,66.0,48.0,41.0,59.0,46.0,70.0,68.0,74.0,70.0,51.0,66.0,48.0,41.0,59.0,46.0,70.0,68.0,74.0,70.0,51.0,74.0
2055,G. Rivas,28,Venezuela,75,75,Al Hilal,ST,65.0,43.0,45.0,69.0,58.0,65.0,45.0,43.0,58.0,45.0,69.0,64.0,74.0,66.0,47.0,65.0,45.0,43.0,58.0,45.0,69.0,64.0,74.0,66.0,47.0,74.0
2056,M. Martins,30,Bolivia,75,75,,ST,69.0,46.0,50.0,71.0,63.0,69.0,47.0,46.0,63.0,50.0,71.0,68.0,74.0,69.0,50.0,69.0,47.0,46.0,63.0,50.0,71.0,68.0,74.0,69.0,50.0,74.0
2057,Welthon,25,Brazil,75,80,FC Paços de Ferreira,ST,72.0,45.0,49.0,74.0,64.0,72.0,50.0,45.0,64.0,49.0,74.0,72.0,74.0,74.0,54.0,72.0,50.0,45.0,64.0,49.0,74.0,72.0,74.0,74.0,54.0,74.0
2058,O. Kharbin,23,Syria,75,81,Al Hilal,ST,68.0,44.0,45.0,72.0,58.0,68.0,47.0,44.0,58.0,45.0,72.0,67.0,74.0,70.0,49.0,68.0,47.0,44.0,58.0,45.0,72.0,67.0,74.0,70.0,49.0,74.0
2059,F. Kamano,21,Guinea,75,80,Girondins de Bordeaux,ST,72.0,44.0,51.0,74.0,64.0,72.0,53.0,44.0,64.0,51.0,74.0,74.0,71.0,75.0,56.0,72.0,53.0,44.0,64.0,51.0,74.0,74.0,71.0,75.0,56.0,71.0
2060,R. Borré,21,Colombia,75,84,River Plate,ST,73.0,47.0,52.0,74.0,66.0,73.0,52.0,47.0,66.0,52.0,74.0,72.0,74.0,74.0,54.0,73.0,52.0,47.0,66.0,52.0,74.0,72.0,74.0,74.0,54.0,74.0
2061,O. Niasse,27,Senegal,75,75,Everton,ST,68.0,46.0,48.0,72.0,60.0,68.0,50.0,46.0,60.0,48.0,72.0,68.0,74.0,70.0,53.0,68.0,50.0,46.0,60.0,48.0,72.0,68.0,74.0,70.0,53.0,74.0
2062,Alex Alegría,24,Spain,75,82,Levante UD,ST,66.0,44.0,45.0,70.0,58.0,66.0,45.0,44.0,58.0,45.0,70.0,64.0,74.0,67.0,47.0,66.0,45.0,44.0,58.0,45.0,70.0,64.0,74.0,67.0,47.0,74.0
2063,D. Ginczek,26,Germany,75,77,VfB Stuttgart,ST,66.0,53.0,51.0,70.0,59.0,66.0,47.0,53.0,59.0,51.0,70.0,63.0,74.0,65.0,48.0,66.0,47.0,53.0,59.0,51.0,70.0,63.0,74.0,65.0,48.0,74.0
2064,B. Wood,24,United States,75,81,Hamburger SV,ST,67.0,46.0,50.0,71.0,61.0,67.0,51.0,46.0,61.0,50.0,71.0,70.0,74.0,71.0,54.0,67.0,51.0,46.0,61.0,50.0,71.0,70.0,74.0,71.0,54.0,74.0
2065,K. Iheanacho,20,Nigeria,75,86,Leicester City,ST,72.0,40.0,47.0,74.0,63.0,72.0,45.0,40.0,63.0,47.0,74.0,70.0,74.0,72.0,48.0,72.0,45.0,40.0,63.0,47.0,74.0,70.0,74.0,72.0,48.0,74.0
2066,G. Shibasaki,25,Japan,75,81,Getafe CF,ST,74.0,69.0,74.0,72.0,75.0,74.0,72.0,69.0,75.0,74.0,72.0,73.0,68.0,72.0,73.0,74.0,72.0,69.0,75.0,74.0,72.0,73.0,68.0,72.0,73.0,68.0
2067,J. Kodjia,27,Ivory Coast,75,76,Aston Villa,ST,69.0,43.0,46.0,73.0,60.0,69.0,47.0,43.0,60.0,46.0,73.0,69.0,74.0,71.0,50.0,69.0,47.0,43.0,60.0,46.0,73.0,69.0,74.0,71.0,50.0,74.0
2068,E. Gigliotti,30,Argentina,75,75,Independiente,ST,69.0,49.0,52.0,71.0,64.0,69.0,49.0,49.0,64.0,52.0,71.0,66.0,74.0,67.0,51.0,69.0,49.0,49.0,64.0,52.0,71.0,66.0,74.0,67.0,51.0,74.0
2069,S. Floccari,35,Italy,75,75,Ferrara (SPAL),ST,69.0,42.0,46.0,72.0,62.0,69.0,45.0,42.0,62.0,46.0,72.0,68.0,74.0,70.0,48.0,69.0,45.0,42.0,62.0,46.0,72.0,68.0,74.0,70.0,48.0,74.0
2070,A. Szalai,29,Hungary,75,75,TSG 1899 Hoffenheim,ST,68.0,53.0,55.0,71.0,65.0,68.0,48.0,53.0,65.0,55.0,71.0,65.0,74.0,66.0,51.0,68.0,48.0,53.0,65.0,55.0,71.0,65.0,74.0,66.0,51.0,74.0
2071,A. Mitrović,22,Serbia,75,80,Newcastle United,ST,67.0,46.0,47.0,70.0,60.0,67.0,41.0,46.0,60.0,47.0,70.0,63.0,74.0,65.0,43.0,67.0,41.0,46.0,60.0,47.0,70.0,63.0,74.0,65.0,43.0,74.0
2072,R. Inglese,25,Italy,75,78,Chievo Verona,ST,64.0,41.0,42.0,69.0,57.0,64.0,41.0,41.0,57.0,42.0,69.0,62.0,74.0,65.0,44.0,64.0,41.0,41.0,57.0,42.0,69.0,62.0,74.0,65.0,44.0,74.0
2073,Kike García,27,Spain,75,76,SD Eibar,ST,69.0,49.0,52.0,72.0,64.0,69.0,50.0,49.0,64.0,52.0,72.0,68.0,74.0,69.0,52.0,69.0,50.0,49.0,64.0,52.0,72.0,68.0,74.0,69.0,52.0,74.0
2074,M. Dembélé,20,France,75,85,Celtic,ST,70.0,41.0,45.0,73.0,61.0,70.0,46.0,41.0,61.0,45.0,73.0,69.0,74.0,71.0,49.0,70.0,46.0,41.0,61.0,45.0,73.0,69.0,74.0,71.0,49.0,74.0
2075,M. Suárez,29,Argentina,75,75,Belgrano de Córdoba,ST,74.0,40.0,48.0,73.0,67.0,74.0,47.0,40.0,67.0,48.0,73.0,72.0,71.0,73.0,51.0,74.0,47.0,40.0,67.0,48.0,73.0,72.0,71.0,73.0,51.0,71.0
2076,A. Cambrillo,29,Chile,75,75,CD O'Higgins,ST,71.0,43.0,47.0,73.0,64.0,71.0,46.0,43.0,64.0,47.0,73.0,68.0,74.0,70.0,48.0,71.0,46.0,43.0,64.0,47.0,73.0,68.0,74.0,70.0,48.0,74.0
2077,L. Lereas,25,Chile,75,75,Universidad Católica,ST,71.0,55.0,59.0,73.0,68.0,71.0,58.0,55.0,68.0,59.0,73.0,71.0,74.0,71.0,61.0,71.0,58.0,55.0,68.0,59.0,73.0,71.0,74.0,71.0,61.0,74.0
2078,R. van Wolfswinkel,28,Netherlands,75,75,FC Basel,ST,71.0,50.0,55.0,73.0,67.0,71.0,52.0,50.0,67.0,55.0,73.0,69.0,74.0,70.0,54.0,71.0,52.0,50.0,67.0,55.0,73.0,69.0,74.0,70.0,54.0,74.0
2079,Y. Kubo,23,Japan,75,80,KAA Gent,ST,74.0,49.0,56.0,75.0,68.0,74.0,58.0,49.0,68.0,56.0,75.0,74.0,72.0,75.0,60.0,74.0,58.0,49.0,68.0,56.0,75.0,74.0,72.0,75.0,60.0,72.0
2080,C. Pavón,21,Argentina,75,84,Boca Juniors,ST,74.0,40.0,51.0,74.0,67.0,74.0,51.0,40.0,67.0,51.0,74.0,74.0,71.0,75.0,55.0,74.0,51.0,40.0,67.0,51.0,74.0,74.0,71.0,75.0,55.0,71.0
2081,O. Toivonen,30,Sweden,75,75,Toulouse FC,ST,74.0,54.0,60.0,73.0,71.0,74.0,56.0,54.0,71.0,60.0,73.0,72.0,74.0,72.0,59.0,74.0,56.0,54.0,71.0,60.0,73.0,72.0,74.0,72.0,59.0,74.0
2082,F. Đorđević,29,Serbia,75,75,Lazio,ST,68.0,55.0,56.0,71.0,64.0,68.0,54.0,55.0,64.0,56.0,71.0,67.0,74.0,68.0,55.0,68.0,54.0,55.0,64.0,56.0,71.0,67.0,74.0,68.0,55.0,74.0
2083,Samu García,27,Spain,75,75,Levante UD,ST,74.0,43.0,52.0,73.0,68.0,74.0,51.0,43.0,68.0,52.0,73.0,74.0,71.0,74.0,55.0,74.0,51.0,43.0,68.0,52.0,73.0,74.0,71.0,74.0,55.0,71.0
2084,I. Ezekiel,23,Nigeria,75,80,Atiker Konyaspor,ST,71.0,44.0,48.0,74.0,63.0,71.0,53.0,44.0,63.0,48.0,74.0,72.0,74.0,74.0,55.0,71.0,53.0,44.0,63.0,48.0,74.0,72.0,74.0,74.0,55.0,74.0
2085,F. Borini,26,Italy,76,77,Milan,ST,74.0,46.0,53.0,76.0,68.0,74.0,52.0,46.0,68.0,53.0,76.0,75.0,75.0,75.0,56.0,74.0,52.0,46.0,68.0,53.0,76.0,75.0,75.0,75.0,56.0,75.0
2086,M. Destro,26,Italy,76,79,Bologna,ST,70.0,42.0,46.0,73.0,61.0,70.0,47.0,42.0,61.0,46.0,73.0,70.0,75.0,72.0,50.0,70.0,47.0,42.0,61.0,46.0,73.0,70.0,75.0,72.0,50.0,75.0
2087,A. Paloschi,27,Italy,76,77,Ferrara (SPAL),ST,68.0,44.0,46.0,72.0,59.0,68.0,46.0,44.0,59.0,46.0,72.0,69.0,75.0,70.0,49.0,68.0,46.0,44.0,59.0,46.0,72.0,69.0,75.0,70.0,49.0,75.0
2088,O. Peralta,33,Mexico,76,76,Club América,ST,73.0,54.0,58.0,74.0,68.0,73.0,57.0,54.0,68.0,58.0,74.0,72.0,75.0,72.0,59.0,73.0,57.0,54.0,68.0,58.0,74.0,72.0,75.0,72.0,59.0,75.0
2089,N. Nikolić,29,Hungary,76,76,Chicago Fire Soccer Club,ST,69.0,42.0,46.0,72.0,61.0,69.0,47.0,42.0,61.0,46.0,72.0,68.0,75.0,70.0,50.0,69.0,47.0,42.0,61.0,46.0,72.0,68.0,75.0,70.0,50.0,75.0
2090,R. Ábila,27,Argentina,76,77,Club Atlético Huracán,ST,67.0,46.0,48.0,71.0,60.0,67.0,46.0,46.0,60.0,48.0,71.0,67.0,75.0,68.0,49.0,67.0,46.0,46.0,60.0,48.0,71.0,67.0,75.0,68.0,49.0,75.0
2091,J. Rodriguez,27,England,76,76,West Bromwich Albion,ST,75.0,47.0,54.0,76.0,70.0,75.0,54.0,47.0,70.0,54.0,76.0,75.0,76.0,75.0,57.0,75.0,54.0,47.0,70.0,54.0,76.0,75.0,76.0,75.0,57.0,76.0
2092,E. Puch,30,Chile,76,76,Pachuca,ST,74.0,49.0,59.0,74.0,70.0,74.0,58.0,49.0,70.0,59.0,74.0,75.0,70.0,75.0,62.0,74.0,58.0,49.0,70.0,59.0,74.0,75.0,70.0,75.0,62.0,70.0
2093,R. Berić,26,Slovenia,76,78,RSC Anderlecht,ST,72.0,51.0,56.0,74.0,68.0,72.0,52.0,51.0,68.0,56.0,74.0,70.0,75.0,71.0,54.0,72.0,52.0,51.0,68.0,56.0,74.0,70.0,75.0,71.0,54.0,75.0
2094,J. Vossen,28,Belgium,76,76,Club Brugge KV,ST,73.0,53.0,60.0,74.0,71.0,73.0,58.0,53.0,71.0,60.0,74.0,72.0,75.0,72.0,60.0,73.0,58.0,53.0,71.0,60.0,74.0,72.0,75.0,72.0,60.0,75.0
2095,B. Fornaroli,29,Uruguay,76,76,Melbourne City,ST,73.0,52.0,55.0,75.0,66.0,73.0,55.0,52.0,66.0,55.0,75.0,72.0,75.0,73.0,57.0,73.0,55.0,52.0,66.0,55.0,75.0,72.0,75.0,73.0,57.0,75.0
2096,S. Vokes,27,Wales,76,77,Burnley,ST,71.0,57.0,59.0,73.0,68.0,71.0,55.0,57.0,68.0,59.0,73.0,70.0,75.0,70.0,57.0,71.0,55.0,57.0,68.0,59.0,73.0,70.0,75.0,70.0,57.0,75.0
2097,N. Petersen,28,Germany,76,76,SC Freiburg,ST,67.0,48.0,50.0,70.0,61.0,67.0,49.0,48.0,61.0,50.0,70.0,66.0,75.0,67.0,51.0,67.0,49.0,48.0,61.0,50.0,70.0,66.0,75.0,67.0,51.0,75.0
2098,M. Lestienne,25,Belgium,76,77,Rubin Kazan,ST,75.0,44.0,56.0,75.0,70.0,75.0,56.0,44.0,70.0,56.0,75.0,76.0,70.0,76.0,60.0,75.0,56.0,44.0,70.0,56.0,75.0,76.0,70.0,76.0,60.0,70.0
2099,D. Ings,24,England,76,80,Liverpool,ST,74.0,49.0,54.0,75.0,67.0,74.0,54.0,49.0,67.0,54.0,75.0,74.0,75.0,75.0,57.0,74.0,54.0,49.0,67.0,54.0,75.0,74.0,75.0,75.0,57.0,75.0
2100,A. Finnbogason,28,Iceland,76,76,FC Augsburg,ST,74.0,47.0,54.0,75.0,69.0,74.0,49.0,47.0,69.0,54.0,75.0,70.0,75.0,71.0,51.0,74.0,49.0,47.0,69.0,54.0,75.0,70.0,75.0,71.0,51.0,75.0
2101,Agirretxe,30,Spain,76,76,Real Sociedad,ST,70.0,57.0,56.0,72.0,64.0,70.0,51.0,57.0,64.0,56.0,72.0,65.0,75.0,68.0,52.0,70.0,51.0,57.0,64.0,56.0,72.0,65.0,75.0,68.0,52.0,75.0
2102,S. Berahino,23,England,76,82,Stoke City,ST,70.0,42.0,47.0,74.0,62.0,70.0,48.0,42.0,62.0,47.0,74.0,70.0,75.0,72.0,51.0,70.0,48.0,42.0,62.0,47.0,74.0,70.0,75.0,72.0,51.0,75.0
2103,S. Long,30,Republic of Ireland,76,76,Southampton,ST,70.0,53.0,54.0,73.0,64.0,70.0,56.0,53.0,64.0,54.0,73.0,72.0,75.0,73.0,58.0,70.0,56.0,53.0,64.0,54.0,73.0,72.0,75.0,73.0,58.0,75.0
2104,R. Meggiorini,31,Italy,76,76,Chievo Verona,ST,74.0,46.0,51.0,75.0,67.0,74.0,51.0,46.0,67.0,51.0,75.0,73.0,75.0,74.0,54.0,74.0,51.0,46.0,67.0,51.0,75.0,73.0,75.0,74.0,54.0,75.0
2105,S. Kießling,33,Germany,76,76,Bayer 04 Leverkusen,ST,69.0,58.0,58.0,72.0,66.0,69.0,56.0,58.0,66.0,58.0,72.0,68.0,75.0,68.0,57.0,69.0,56.0,58.0,66.0,58.0,72.0,68.0,75.0,68.0,57.0,75.0
2106,Éder,29,Portugal,76,76,Lokomotiv Moscow,ST,73.0,58.0,60.0,74.0,69.0,73.0,58.0,58.0,69.0,60.0,74.0,72.0,75.0,73.0,60.0,73.0,58.0,58.0,69.0,60.0,74.0,72.0,75.0,73.0,60.0,75.0
2107,L. Diony,24,France,76,79,AS Saint-Étienne,ST,72.0,44.0,48.0,74.0,63.0,72.0,48.0,44.0,63.0,48.0,74.0,72.0,75.0,73.0,52.0,72.0,48.0,44.0,63.0,48.0,74.0,72.0,75.0,73.0,52.0,75.0
2108,Y. Mutō,24,Japan,76,81,1. FSV Mainz 05,ST,76.0,49.0,56.0,77.0,70.0,76.0,57.0,49.0,70.0,56.0,77.0,76.0,75.0,77.0,61.0,76.0,57.0,49.0,70.0,56.0,77.0,76.0,75.0,77.0,61.0,75.0
2109,R. Ruidíaz,26,Peru,76,77,Monarcas Morelia,ST,72.0,43.0,49.0,75.0,64.0,72.0,51.0,43.0,64.0,49.0,75.0,73.0,75.0,74.0,54.0,72.0,51.0,43.0,64.0,49.0,75.0,73.0,75.0,74.0,54.0,75.0
